Year, emissions, tempChange
1880,236,-0.16333333333333333
1881,243,-0.07750000000000001
1882,256,-0.1025
1883,272,-0.16500000000000004
1884,275,-0.2758333333333333
1885,277,-0.31916666666666665
1886,281,-0.3008333333333333
1887,295,-0.3475
1888,327,-0.16166666666666668
1889,327,-0.09583333333333334
1890,356,-0.3458333333333334
1891,372,-0.2175
1892,374,-0.2641666666666667
1893,370,-0.3058333333333334
1894,383,-0.29333333333333333
1895,406,-0.2133333333333333
1896,419,-0.09916666666666668
1897,440,-0.09583333333333333
1898,465,-0.25333333333333335
1899,507,-0.16333333333333336
1900,534,-0.06666666666666668
1901,552,-0.145
1902,566,-0.26666666666666666
1903,617,-0.35999999999999993
1904,624,-0.4633333333333332
1905,663,-0.2575
1906,707,-0.21666666666666667
1907,784,-0.38499999999999995
1908,750,-0.4266666666666667
1909,785,-0.4875000000000001
1910,819,-0.4333333333333333
1911,836,-0.4383333333333333
1912,879,-0.3566666666666667
1913,943,-0.34333333333333327
1914,850,-0.15166666666666664
1915,838,-0.13749999999999998
1916,901,-0.355
1917,955,-0.46
1918,936,-0.29583333333333334
1919,806,-0.27666666666666667
1920,932,-0.2725
1921,803,-0.18666666666666665
1922,845,-0.2808333333333333
1923,970,-0.2633333333333333
1924,963,-0.27166666666666667
1925,975,-0.2175
1926,983,-0.105
1927,1062,-0.2175
1928,1065,-0.19666666666666666
1929,1145,-0.3575
1930,1053,-0.15416666666666665
1931,940,-0.09083333333333334
1932,847,-0.1575
1933,893,-0.2841666666666667
1934,973,-0.12666666666666668
1935,1027,-0.19833333333333333
1936,1130,-0.15083333333333335
1937,1209,-0.02833333333333334
1938,1142,-0.0033333333333333353
1939,1192,-0.01583333333333334
1940,1299,0.1275
1941,1334,0.18666666666666668
1942,1342,0.06999999999999999
1943,1391,0.08916666666666667
1944,1383,0.20333333333333334
1945,1160,0.08916666666666666
1946,1238,-0.07500000000000001
1947,1392,-0.029166666666666674
1948,1469,-0.10916666666666668
1949,1419,-0.11
1950,1630,-0.1741666666666667
1951,1767,-0.06833333333333332
1952,1795,0.01
1953,1841,0.07833333333333334
1954,1865,-0.13249999999999998
1955,2042,-0.1416666666666667
1956,2177,-0.19000000000000003
1957,2270,0.04750000000000001
1958,2330,0.06333333333333334
1959,2454,0.03083333333333335
1960,2569,-0.022499999999999996
1961,2580,0.059166666666666666
1962,2686,0.03666666666666667
1963,2833,0.05416666666666667
1964,2995,-0.20000000000000004
1965,3130,-0.10750000000000003
1966,3288,-0.05833333333333334
1967,3393,-0.022500000000000003
1968,3566,-0.08000000000000002
1969,3780,0.05416666666666667
1970,4053,0.02416666666666667
1971,4208,-0.08333333333333336
1972,4376,0.008333333333333331
1973,4614,0.16166666666666665
1974,4623,-0.07083333333333335
1975,4596,-0.015000000000000008
1976,4864,-0.09916666666666667
1977,5026,0.17666666666666664
1978,5087,0.06833333333333334
1979,5369,0.16416666666666668
1980,5315,0.25833333333333336
1981,5152,0.32083333333333336
1982,5113,0.13833333333333334
1983,5094,0.31083333333333335
1984,5280,0.155
1985,5439,0.11500000000000003
1986,5607,0.18166666666666664
1987,5752,0.31833333333333336
1988,5965,0.3825
1989,6097,0.2725
1990,6127,0.4483333333333334
1991,6217,0.4024999999999999
1992,6164,0.21750000000000003
1993,6162,0.23166666666666666
1994,6266,0.3125
1995,6398,0.44583333333333336
1996,6542,0.3266666666666667
1997,6651,0.4658333333333333
1998,6643,0.6108333333333333
1999,6610,0.38666666666666666
2000,6765,0.39666666666666667
2001,6927,0.54
2002,6996,0.6283333333333334
2003,7416,0.6208333333333335
2004,7807,0.54
2005,8093,0.6816666666666666
2006,8370,0.6408333333333334
2007,8566,0.6616666666666666
2008,8783,0.5408333333333334
2009,8740,0.6575000000000001
2010,9167,0.7224999999999998
