"","Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","J.D","D.N","DJF","MAM","JJA","SON"
"1",1880,-0.17,-0.24,-0.09,-0.16,-0.09,-0.2,-0.17,-0.09,-0.14,-0.23,-0.21,-0.17,-0.16,"***","***",-0.11,-0.15,-0.19
"2",1881,-0.19,-0.13,0.04,0.06,0.07,-0.18,0.01,-0.02,-0.14,-0.21,-0.18,-0.06,-0.08,"-.09","-.16",0.05,-0.06,-0.18
"3",1882,0.17,0.15,0.05,-0.16,-0.14,-0.22,-0.15,-0.06,-0.14,-0.23,-0.15,-0.35,-0.1,"-.08",".09",-0.08,-0.14,-0.17
"4",1883,-0.28,-0.36,-0.12,-0.17,-0.17,-0.07,-0.06,-0.13,-0.2,-0.1,-0.22,-0.1,-0.16,"-.19","-.33",-0.15,-0.08,-0.18
"5",1884,-0.12,-0.07,-0.35,-0.39,-0.34,-0.35,-0.31,-0.26,-0.26,-0.24,-0.32,-0.3,-0.28,"-.26","-.10",-0.36,-0.31,-0.28
"6",1885,-0.58,-0.32,-0.25,-0.41,-0.44,-0.42,-0.32,-0.29,-0.27,-0.22,-0.22,-0.09,-0.32,"-.34","-.40",-0.37,-0.35,-0.24
"7",1886,-0.42,-0.49,-0.42,-0.27,-0.23,-0.33,-0.17,-0.29,-0.23,-0.26,-0.26,-0.24,-0.3,"-.29","-.33",-0.31,-0.26,-0.25
"8",1887,-0.7,-0.55,-0.34,-0.33,-0.29,-0.23,-0.24,-0.34,-0.24,-0.34,-0.25,-0.32,-0.35,"-.34","-.50",-0.32,-0.27,-0.28
"9",1888,-0.33,-0.35,-0.4,-0.19,-0.21,-0.16,-0.09,-0.14,-0.11,0.03,0.04,-0.03,-0.16,"-.18","-.33",-0.27,-0.13,-0.01
"10",1889,-0.07,0.18,0.07,0.1,0,-0.09,-0.07,-0.19,-0.23,-0.25,-0.32,-0.28,-0.1,"-.08",".03",0.06,-0.12,-0.27
"11",1890,-0.41,-0.45,-0.39,-0.29,-0.39,-0.24,-0.27,-0.38,-0.36,-0.24,-0.43,-0.3,-0.34,"-.34","-.38",-0.36,-0.3,-0.34
"12",1891,-0.33,-0.46,-0.17,-0.26,-0.16,-0.2,-0.17,-0.16,-0.15,-0.21,-0.3,-0.04,-0.22,"-.24","-.36",-0.2,-0.18,-0.22
"13",1892,-0.28,-0.1,-0.39,-0.32,-0.23,-0.21,-0.31,-0.26,-0.16,-0.13,-0.41,-0.37,-0.26,"-.24","-.14",-0.31,-0.26,-0.23
"14",1893,-0.8,-0.55,-0.21,-0.26,-0.34,-0.25,-0.13,-0.24,-0.22,-0.18,-0.18,-0.31,-0.31,"-.31","-.58",-0.27,-0.21,-0.19
"15",1894,-0.51,-0.28,-0.22,-0.44,-0.3,-0.39,-0.23,-0.23,-0.27,-0.22,-0.24,-0.19,-0.29,"-.30","-.37",-0.32,-0.28,-0.24
"16",1895,-0.39,-0.41,-0.31,-0.2,-0.26,-0.19,-0.16,-0.15,-0.11,-0.1,-0.15,-0.13,-0.21,"-.22","-.33",-0.26,-0.17,-0.12
"17",1896,-0.2,-0.11,-0.25,-0.29,-0.15,-0.1,-0.01,-0.04,-0.06,0.08,-0.03,-0.03,-0.1,"-.11","-.15",-0.23,-0.05,0
"18",1897,-0.13,-0.16,-0.12,-0.01,0,-0.1,-0.01,-0.08,-0.07,-0.11,-0.17,-0.19,-0.1,"-.08","-.11",-0.05,-0.07,-0.12
"19",1898,0,-0.28,-0.48,-0.28,-0.28,-0.17,-0.2,-0.24,-0.2,-0.33,-0.36,-0.22,-0.25,"-.25","-.16",-0.35,-0.2,-0.3
"20",1899,-0.15,-0.37,-0.36,-0.19,-0.22,-0.31,-0.14,-0.06,-0.03,-0.03,0.14,-0.24,-0.16,"-.16","-.25",-0.26,-0.17,0.03
"21",1900,-0.34,-0.04,0.02,-0.07,-0.07,-0.08,-0.12,-0.07,-0.04,0.11,-0.05,-0.05,-0.07,"-.08","-.21",-0.04,-0.09,0.01
